matricula,numero_bastidor,anno,marca,modelo,categoria,dni_usuario
8206-BPG,A9AHS8DV74JDBY9L8,2001,Honda,CR-V,cupé,12304882C
2665-LSP,ELX9XJ2N143NV4YBG,2021,Skoda,Kodiaq,sedán,82912078E
2718-FXX,4YAE37VG6TEHNYK2Z,2007,Ford,Mustang,berlina,54321436J
7835-LJK,T1UELM6W1EGFBPZAX,2020,Mercedes-Benz,E-Class,monovolumen,71426518H
8986-CWY,WZA6H18S6JYYPXTZY,2004,Mazda,CX-5,berlina,90117134Y
1245-LZH,2RJX834E77S5A4PCR,2020,BMW,320,deportivo,57368190A
5866-BTF,S8ZPMUDB04D8HS6YK,2002,Kia,Sportage,berlina,10375510A
4955-CLY,UERXA2G65MZ4AHLV9,2004,Renault,Clio,monovolumen,10663999A
5028-KFD,Z0TLGCPX86EJAAGJ1,2019,Mazda,CX-5,urbanos,33911857J
1508-JYV,8NN1WPXW4EV0W581N,2017,Kia,Sportage,SUV,65709428S
9730-GVR,G1SDN4A001DRFB611,2010,Renault,Clio,cupé,52316532L
LO-5034-DW,K8HWKNCC886ZL34B6,1992,Toyota,RAV4,descapotable,30433061J
9463-KRS,D33WUW3X4840GHHL3,2019,Mazda,Mazda3,descapotable,87501482Y
VA-6217-VB,2TGYYLZ6XZH9W586G,1996,Kia,Sportage,berlina,65363916D
4653-BBB,TRUA83M74CSS1VREB,2001,Honda,Accord,furgoneta,56226439H
4693-FBG,PYSLW3A47HDASZC1L,2007,Seat,Ateca,deportivo,99543375L
VI-7031-MT,8SAL66TBX945UMNEF,1995,Renault,Megane,monovolumen,92404001Y
8689-JLN,RRSM7HXGXWA55684F,2017,Skoda,Octavia,todoterreno,49080047W
2469-GNJ,SHCT637M1145F4HNK,2010,Seat,Arona,SUV,85589020V
2712-GBH,KK8K2SMZ4HHW5VU3U,2009,Skoda,Kodiaq,SUV,62102472B
SA-2232-KY,64PUSA5V6PRBX4XMM,1990,Hyundai,Tucson,SUV,87093250R
VI-8882-NN,FB9YJFXF79ZRRDS9A,1992,Renault,Clio,cupé,73386478X
BA-1863-NR,A2W4J48YXEFV7FRGX,1993,Renault,Megane,furgoneta,12546289L
9950-LML,JLDL2Z4T1C8NCRC7W,2020,Seat,Ibiza,deportivo,98505840Z
7122-FDF,BEP9N6JG23MMDHXRN,2008,Skoda,Kodiaq,berlina,20721007P
SO-8532-XJ,VJT8V8245G75DF6MM,1994,Audi,Q7,sedán,37775782F
9668-DTK,JWJVTRELXC37SR8PP,2005,Mercedes-Benz,GLC,todoterreno,07021038N
2233-GCH,G8P4Y54J2MSHXX6M2,2010,Renault,Scenic,SUV,43459799B
BI-9387-FX,Y17PZ74U04KENKB9G,1994,Seat,Ateca,furgoneta,30903526J
6755-LRJ,5V4MND8S7XPSNCGTF,2022,Mercedes-Benz,GLC,monovolumen,20292946T
6829-HDH,SU6WTDGC3JH2FYUN8,2013,Honda,Jazz,urbanos,64662286V
1136-BSV,JJ5LTTCG22RW4LGEH,2002,Hyundai,Elantra,SUV,83112739P
3581-HVV,WL3MWDMR6C33AM407,2013,Audi,Q5,sedán,95507757G
4563-CVD,6PFGC9PT8ZJXS3GRE,2004,Nissan,Juke,monovolumen,20937525G
5345-BCX,7NVZFXGZ3TWFHF182,2000,Mercedes-Benz,GLC,descapotable,67262483H
CA-7296-MW,TYTN6U7Y1SHXU66XA,1994,Fiat,500,deportivo,06587865K
SG-7489-XL,2C6SVEWZ5DA5R5ARG,1996,Nissan,Qashqai,sedán,54464645R
2320-HZJ,PT1BHNU50R691994C,2014,Mazda,MX-5,berlina,18344537J
1639-KZG,26Y0WCF04KAEGCKT2,2018,Mercedes-Benz,GLC,SUV,77923626V
2998-HPW,3EF8HTG54WMKVLFMF,2013,Renault,Megane,deportivo,06728208H
TE-2219-PP,EPLSSBMT7AUDZBTSC,1997,Mercedes-Benz,S-Class,descapotable,67854765G
C-9116-TY,59JYWMS11XCC0K6YE,1998,Ford,Kuga,descapotable,43319790A
7853-FNX,TLBTMD6L747RZNPNC,2007,Fiat,500,urbanos,20934209T
O-4692-GB,E414L80VXFTG6UY14,1998,Renault,Kadjar,descapotable,78225088H
Z-8737-MM,4PERUCJZ9VGGMDWXX,1998,Audi,A3,SUV,34952982C
5101-HMR,D2LMCH603PUZ1PE16,2013,BMW,M3,urbanos,83566916G
BI-8837-WC,G1PZUV293LY5L4RLX,1991,Honda,Accord,cupé,07592906P
CO-7248-VB,8H0DUJWG4FZC7ULUP,1999,Fiat,Tipo,sedán,01052010J
2147-CBC,CWE38N000JULDZXZ4,2003,Kia,Sportage,SUV,51034246Y
6945-JGP,2K63S1703A4ZKU6T7,2016,Renault,Megane,berlina,50640758W
PO-3990-LL,GWXBNW2FXWUAG0C26,1998,Audi,Q7,monovolumen,75562693B
8469-DLD,XVHPLMGF613LJ1AFN,2005,Renault,Kadjar,furgoneta,71426518H
7077-JMR,VRGVJY7Y4212VUVZ2,2015,Hyundai,Santa Fe,SUV,05346935X
5200-BFT,9DVLPANL7T4CFRP1C,2002,Kia,Sportage,berlina,42736491F
1727-BJH,M327Y4H57Y7SG3RJN,2000,Volkswagen,Passat,deportivo,33262056P
2685-LSG,FGHC6HM51J4G2V0JW,2021,Kia,Sportage,sedán,34656091J
7928-GJG,9RNXV5L98FF360GMC,2010,Hyundai,Elantra,SUV,35939894W
3931-HTC,P7M7W00G8DZNL4EEZ,2013,BMW,Z4,berlina,91222188W
6313-GMN,9RSLGGMM7SG85BFDK,2010,Mercedes-Benz,E-Class,descapotable,15058765K
SG-3426-CV,LLP83L699S9RZFPAD,1998,Audi,Q7,todoterreno,58487932J
7380-HHL,169ZSLZJX5EZLPKS4,2011,Volkswagen,Polo,descapotable,60643854F
8098-JZF,BXYGNZFU3VM5P6DXM,2016,Peugeot,308,furgoneta,57895809W
1205-DFJ,M1WPC6A71J8PH5RA3,2005,Audi,Q7,todoterreno,90552017M
5790-MZW,1JAWJY7P13REW03EB,2023,Fiat,Panda,SUV,49687261Q
3311-LJJ,P3LSWNND2E2HSL4AM,2020,Volkswagen,Passat,furgoneta,75228187V
TE-1673-VB,Z651H2EF0H5U54HUK,1990,BMW,320,monovolumen,94018141Y
NA-1922-WV,E5YBWSPJ4Z821VVU1,1995,Kia,Ceed,monovolumen,84028672N
SE-9868-VV,LXMYAC1T8NPET2CDF,1993,Kia,Ceed,urbanos,14452489W
1798-BNN,TEVT8VP65BERZFXGE,2002,Kia,Sorento,cupé,95507757G
1932-DLP,XC67E4UP0LST54EXY,2006,BMW,Z4,berlina,20154259A
5841-DTN,0VPJUJ6G18VRT7NH4,2006,Mercedes-Benz,GLC,descapotable,84623079F
2925-GZD,6UKT33SH32E44YMTY,2009,Ford,Mustang,monovolumen,49596575L
8657-DRY,K3BX568W1RKXDGUD5,2006,Mercedes-Benz,GLC,berlina,58522182Q
3565-LCH,NYFKAEXW5NJ2SXGTS,2020,Mazda,CX-5,SUV,27574060G
4487-GJG,HP8YXX7M7D7U8YT9L,2009,Seat,Arona,cupé,48911711A
1349-HXZ,GY9PLJH764YCMFNUG,2014,Audi,Q7,monovolumen,73255744P
SG-4415-YR,62WDX9LZ7Y08NJXBX,1996,Audi,Q7,descapotable,24003693L
J-6033-WN,J198B0FA83Z1J12Z7,1999,Mazda,MX-5,todoterreno,25489443S
7930-HBG,TX6NXP3Z35FC3SMJG,2013,Kia,Ceed,deportivo,92404001Y
2110-GYL,EDVWFKF72FS8NNC1L,2010,Peugeot,208,furgoneta,54587200N
SE-1423-ZV,JWRFSTLM19YJG1LA4,1991,Mercedes-Benz,GLC,descapotable,70515715S
1435-LNK,1J8ZBJAH1CWRP1PGT,2021,BMW,320,descapotable,46814436Y
8795-MXZ,BYNF5KSU98S93ANDU,2023,Audi,Q7,descapotable,57933431L
CU-4934-NS,R34J9K4H4RLJMMY7H,1993,Fiat,Panda,berlina,22148159X
4127-CPK,JXTPG2W87PYFTFNXU,2004,Skoda,Superb,monovolumen,74456561H
7625-KJF,1BNB8F6V1FMFK249U,2019,Peugeot,308,cupé,36622619H
LU-5052-WM,K66C8FZL3ST72BB1A,1997,Skoda,Fabia,SUV,14893268D
7157-KRJ,B0443LB17VN0VM4G2,2019,Volkswagen,Polo,urbanos,08474528V
6084-GDL,5A9E0F2D5X8ZMA6E5,2010,Honda,Accord,sedán,02301150T
9420-FCC,3J0C5J6W7YEC15J0L,2007,Kia,Sorento,cupé,58605275X
1935-LDT,YYM0YDHT1RS4CU854,2020,Honda,CR-V,SUV,93681654D
6751-KNT,6NRE7K2H78M5XEGFG,2018,Ford,Focus,cupé,53007924P
3944-DRV,K4RNGTM03GYWW08KE,2005,Nissan,Juke,furgoneta,04770952Q
B-6425-TY,5U3LTT8531GYN1WJL,1990,Ford,Fiesta,sedán,35920972D
5116-DWR,C4AFNRA31A7AJRNSK,2006,Toyota,Yaris,furgoneta,99885840Z
2076-LJW,T3B60LGG4UHUVGZ46,2022,Skoda,Superb,deportivo,94047072A
7434-JBK,FZGKFE441EUCSVTFK,2015,Seat,Ateca,furgoneta,73771676G
6769-DYD,8PSF9YBC5PUUG6W5T,2006,Volkswagen,Golf,urbanos,75382791S
1044-BZN,MB40XXXL40VFWF78K,2000,Mercedes-Benz,GLC,berlina,01315548V
1297-LDL,0ZG824V50MR7F0ZV2,2021,Toyota,Corolla,sedán,23052103P
6895-LNP,JH4UMGWG7N1DE3DST,2020,Kia,Sportage,descapotable,20316648N
5226-HKH,BTWL787G16KM3ZYXX,2014,Honda,CR-V,deportivo,67010237J
5116-JFC,706F0E3B18F5466YE,2017,Honda,Accord,descapotable,46914122X
LO-6281-XM,Z0XSJH0Y7HCPNKK93,1999,Volkswagen,Polo,berlina,36880052N
3508-HGH,XR46VH8D9ZTH3JWTP,2011,Toyota,Camry,SUV,08597225D
O-1643-LM,30LPNDSXXDED8AZMR,1992,Seat,Ibiza,urbanos,09579390M
P-5233-DV,W4EN6H7U4SV2BPZ3X,1994,Fiat,Tipo,cupé,91291476Z
MA-6690-LB,TFM6HN2Y88BY4414K,1994,Ford,Fiesta,monovolumen,18880607E
8753-MSP,DYS7TAVP9CHY63D0Y,2023,BMW,M3,sedán,16177844N
1711-CKZ,UJCMR9HD974MKHGK0,2004,Hyundai,Santa Fe,berlina,66764082G
7900-KDS,C8Y089B30PDDZBTWJ,2019,Audi,Q5,SUV,41504947K
9459-BXG,P9ZW9YR9964SZ4Y3C,2002,Mazda,Mazda3,berlina,28590539K
8883-LLD,8DCEMYU603VLJ3U8K,2022,Ford,Kuga,berlina,11861291F
8634-FZZ,HTY8CEDW7R4F4E1UG,2008,Renault,Kadjar,SUV,89211290V
1277-CCG,HYTN0FEZ6HMR6D13T,2003,Nissan,Micra,monovolumen,27261576K
CC-1949-YF,JRPK9E2M1TBERLWDR,1990,BMW,Z4,todoterreno,67454989Z
C-1892-YZ,BU4FA19F367AZ5M1F,1993,Renault,Clio,furgoneta,69117657N
1754-LPY,LAGT98VS8ZYZ4L8TK,2021,Volkswagen,Passat,monovolumen,41776045H
V-4229-BX,8M9M67WEX3WKUPBK2,1999,Toyota,Camry,berlina,12005347Z
6748-LZT,0NJTMZ5E0WY9BLUW3,2021,Toyota,RAV4,sedán,89058594H
2241-LDY,U51D8M5W9PUKLTR2P,2021,Peugeot,308,furgoneta,67591083V
7746-GBD,DFH6DUL67R08RXK31,2009,Volkswagen,Polo,descapotable,80569779C
1356-HNS,KFUMMUVH9GMZHN2V4,2011,Mercedes-Benz,E-Class,deportivo,11931914C
3407-HJR,ZLK5Y1JD9W60NGJUS,2014,Nissan,Juke,furgoneta,71603119W
AL-6107-SN,6F4V90AY1NTB4AKK7,1998,Audi,A3,cupé,19385321R
MA-5720-RV,M2MJJ8LE29SDDYUY5,1999,Mazda,Mazda6,urbanos,89007095Q
5239-GTR,GWWFRZ2H42J9HJS7L,2009,Kia,Sportage,sedán,06587865K
9109-CTZ,NL96VXS64SUD14XPU,2003,Nissan,Qashqai,cupé,78689366H
5424-CVJ,822Z98RP7N60XPZA5,2004,Mazda,MX-5,furgoneta,31234221Z
1782-HNV,573G1CDN47912APBY,2011,Toyota,RAV4,berlina,62386580T
2713-HPX,L4P0ZRXT1EP2PRYU8,2012,Honda,Civic,urbanos,03935860P
4848-LNX,73NZNVC00GMT2WU43,2022,Honda,Civic,monovolumen,17582316N
OR-1336-BS,Y65ZUA7E58XUF03K2,1991,Ford,Mustang,monovolumen,81709888L
8349-BPS,NY5SRB296D3G1WHTV,2002,Kia,Picanto,cupé,81709888L
8167-GHP,KEKZEPFC1SB3ZUXUK,2009,Peugeot,508,descapotable,67010237J
O-2648-WV,K4X7LKAY5E597E3B1,1996,Hyundai,Tucson,cupé,56795623K
1625-MHY,6F68JH033LAM3CGMT,2023,Seat,Ibiza,descapotable,63623325N
3952-HVV,3VCYWY5K5ZP7CE7WD,2012,Volkswagen,Polo,berlina,71487201G
1792-JRG,RU2G005U1LTEFSK5F,2015,Audi,Q5,cupé,90440142W
3963-BZL,7S0T0ZVEXBDUTKWDS,2002,BMW,Z4,deportivo,90440142W
9764-CPW,NGCHAE4M74Y0T2C3Z,2003,Hyundai,Santa Fe,sedán,54464645R
8015-HFS,3VDFH3AZ81A7DFHUH,2011,Honda,CR-V,descapotable,88332543P
7144-HKD,AMBNSWCR9ZS3PC0S9,2013,Mazda,CX-5,sedán,10114291H
7180-JVV,KV44KW1W5RJ9HR7SH,2016,Seat,Ibiza,monovolumen,33161481N
T-6879-FP,TYVNV0G9X3NJP7G9Z,1999,Kia,Sorento,SUV,20573985W
PM-6594-JH,VTPVFF2D17F427LD3,1999,Hyundai,Elantra,urbanos,06563175X
3174-HXC,V7RXM1H8718D3EALD,2011,Ford,Fiesta,berlina,57895809W
S-6754-PL,UWFM2DEE91LV05HMG,1990,Nissan,Juke,todoterreno,29402876K
SA-1851-RW,R588S90X4YXB76BE3,1998,Ford,Focus,deportivo,47392651R
6780-HDN,LPVM6YATXF10NCFL4,2013,Audi,A4,todoterreno,61523741Y
L-7202-ZN,VXPRLKH50Y4L1H5CJ,1999,Mazda,Mazda6,deportivo,98301285K
CS-5050-RS,UUPNC3LE0X21CC4G7,1993,Hyundai,Elantra,todoterreno,72784515A
SG-1727-KL,W1B3V8YA8R7LJ61K2,1990,Seat,Leon,todoterreno,42970249Q
8542-GDH,XEBJD64E5S0APT86X,2009,Volkswagen,Polo,cupé,09115468Q
4008-JRT,7AJHSELUXB4GT7D8X,2016,Mercedes-Benz,C-Class,monovolumen,30024051N
3931-GCM,CD9XFT763H0FS13VS,2009,Renault,Megane,descapotable,60928186J
9730-FWC,7R05AB6F4FGZS6Z4E,2008,Honda,Jazz,sedán,48456916X
5466-GJV,Y8FG28580DKE7FN6Z,2010,Hyundai,Tucson,sedán,84675521D
1554-DLP,DJCY14DD9305UXFUV,2006,Volkswagen,Polo,furgoneta,15191690Y
CS-4330-HY,BJLDDWPV3P12RN5SL,1991,BMW,320,monovolumen,18246628S
H-8155-JJ,9286UEP47N1CLPURC,1997,Skoda,Octavia,descapotable,73399841X
2208-HRP,MLB5UZFL86E2LLGCZ,2014,Honda,Jazz,urbanos,70032231Z
5147-LDB,SGXT2UP65576N761Y,2022,Honda,CR-V,deportivo,69210207X
7012-DTB,DMPK3RNY5AH6C48YT,2005,Volkswagen,Golf,SUV,62010337Z
MU-6954-HK,B8CJ1VU03JY5NU9J7,1994,Audi,Q7,descapotable,62010337Z
8764-MFX,CAYZ70SG4P2JX83UK,2023,Toyota,Camry,monovolumen,15391617V
8348-BJZ,48PT1PVY33HS5WT5J,2000,Skoda,Octavia,descapotable,61239581B
8787-HBH,7Z7ZNY807UZZUYJLE,2013,Peugeot,208,sedán,70332170X
6217-LJG,1DXVB0FP29XX7B8LP,2022,Mercedes-Benz,GLC,sedán,62312501G
8846-LSF,66XPSC4W852FXAGPD,2021,Volkswagen,Passat,descapotable,28919698G
5846-MVB,9E1JKSKE2CL76P0W6,2023,Peugeot,308,urbanos,75555171X
6922-GSB,75KLKR2M2JDJ1BSTV,2009,Kia,Picanto,todoterreno,73255744P
2718-LDG,8PKSJXLW64WS3NBCZ,2021,Fiat,Panda,sedán,85660544B
LE-6505-KX,X4700C5472ZPAXP84,1991,Ford,Mustang,todoterreno,56226439H
CR-4021-HH,DAH8ZN413B5XL2RF7,1995,Nissan,Micra,monovolumen,09985670J
4073-LXC,VKKXM127868FS1YND,2021,Mazda,Mazda3,descapotable,15735879S
OR-5462-DP,4EGM7AGE78RXCZEUF,1994,Mercedes-Benz,C-Class,todoterreno,82222122C
8681-CBL,PU1HM0NX2151LDTEZ,2003,Hyundai,Tucson,monovolumen,76584473Q
GR-9529-RT,AD1FPM8K2JBY3TFLB,1990,Mazda,CX-5,cupé,41421815B
7822-HHR,076PL8AK7M4XD5S0Z,2013,Nissan,Qashqai,monovolumen,40147682D
4010-DPL,ZNJBJ3H1281LCGVVP,2005,Peugeot,308,urbanos,36669276P
6009-CZJ,C0RCNBKT0DZWEPLDB,2003,Skoda,Fabia,cupé,01988089S
TO-6685-KN,HK1DRA9HXD1HFWNBC,1994,Peugeot,208,furgoneta,96196560A
CC-8145-VP,UJAZ1BTY1HB863LMG,1996,Peugeot,508,sedán,08190170P
4802-HRM,7CL35D5525SH7GCM0,2011,Hyundai,Elantra,urbanos,52224535E
3470-KRK,PP457P8F9MG8DZ5N3,2018,Toyota,Corolla,monovolumen,34461254D
6794-MHJ,VX2U93SC0S13422H3,2023,Renault,Megane,descapotable,10627733P
5686-CDM,WRHJS79T74Z3BK5WT,2004,Skoda,Fabia,SUV,22397907R
5748-BRN,C0JC48HA1H1T13HFB,2002,Toyota,Yaris,todoterreno,91827955H
1887-HWX,PF7EUAF08LBFZ63UK,2013,Ford,Fiesta,todoterreno,20766588A
8559-KFC,GPNKABMX2TC3714V2,2019,Fiat,500,furgoneta,04087601H
LE-6167-SR,0AWGVNEA4RGZ6JDET,1996,BMW,M3,descapotable,55265738G
7094-BFS,PUKLY7MZ8TV4SEEYV,2000,BMW,X5,monovolumen,98844106L
SA-2082-ZJ,Z8DHH6FL5MNSCW66X,1994,Toyota,RAV4,urbanos,09489399J
9756-GYP,H9E4TTBX4CZKPXG8R,2010,Seat,Leon,sedán,99885840Z
2567-JPN,PZHX0YHJ410YDVTJD,2016,Volkswagen,Polo,urbanos,48894516N
5834-DHF,8J6XAHGS8DJVP3A39,2005,Audi,Q7,todoterreno,46644484R
CA-6189-GC,Y4XP229X554EX9ZGC,1998,Hyundai,Elantra,deportivo,96196560A
3973-GLR,PXP6Z3A85PW3T1AH1,2010,Honda,Accord,berlina,42406775L
3818-JCW,G5JCBD8JXGY4KKW41,2016,Seat,Leon,berlina,91222188W
7959-GWY,AR2HPE521S08S0HHS,2010,Skoda,Superb,descapotable,36189027E
2446-HRH,VFWGJ6YA2B69FU1S1,2014,Renault,Scenic,SUV,33911857J
5634-BWR,X0PFJHS97A1EC7JM5,2002,Peugeot,308,descapotable,11943713C
3450-BJJ,YL87G64V4P25NXUJR,2002,BMW,X5,cupé,52971382J
CA-5933-XK,5AT7DXPA0HSKVXN3T,1996,Ford,Focus,berlina,51469076K
6296-KVF,3NG0G45Y1EZVVNJ98,2019,Volkswagen,Passat,urbanos,33148928V
VA-5598-KX,8WV3GUX3XGGYY6R8W,1997,Ford,Focus,deportivo,33035559S
VI-3838-WK,M82BVA766S3V7YXHC,1993,Honda,Civic,SUV,88937629X
6478-HWV,C0112TELXRDF65DPT,2013,Mazda,CX-5,sedán,23573826E
5901-JRB,D72ZT0X40PUK6MPX0,2016,BMW,M3,furgoneta,92266988G
2672-LGC,29MXA2382SRYD3LZC,2022,Hyundai,Santa Fe,todoterreno,81573212D
4860-DFS,N90LTC8502G903P00,2005,Renault,Kadjar,cupé,99242866M
6440-LPK,SF9V1LC2XY83SN6YN,2022,Mazda,Mazda3,furgoneta,33262056P
3347-KCM,1CRK66E07VWT1HKFC,2019,Volkswagen,Passat,berlina,48360467T
VA-4165-YR,402FYCZ10MRZK6N2G,1991,Renault,Clio,todoterreno,69719331Y
3494-LPV,0M8DM7SZX1LH1LS1G,2021,Audi,Q7,monovolumen,22810653N
1872-CTF,WC66H3BH4RRHHDVWW,2003,Peugeot,208,cupé,21194249W
4273-CLT,4LKEZR2064D1RW86X,2003,Skoda,Kodiaq,monovolumen,63627614T
5382-FJX,XJ45F7WY297U641YN,2007,Volkswagen,Polo,monovolumen,96393998D
8651-BJH,S798UFNA0RHS8TP5L,2000,Hyundai,Tucson,berlina,58998942D
1798-KHW,PFMG6LWR9V35CJNLW,2019,Fiat,Tipo,urbanos,94807574X
T-6299-TY,SL4WKB6947FA5EBSL,1995,Kia,Ceed,furgoneta,30903526J
6879-GLK,JYWW7X4C6R1U7TJ4T,2010,Kia,Sorento,deportivo,16228657H
5012-MWX,AL4M481975H76A0W7,2023,Hyundai,Elantra,descapotable,26687425L
BU-3158-VV,R8388LAX3NUPZT5TM,1996,Volkswagen,Passat,urbanos,09579390M
1814-DHS,YPPRY3P358H4ZXJXX,2005,Renault,Scenic,urbanos,70032231Z
5570-BTS,DFKKD17J97R886777,2002,Toyota,RAV4,furgoneta,67262483H
3083-JPT,SDA9D4PB5T94YS9ZR,2017,Kia,Ceed,cupé,78472001A
VI-6234-VD,AJZ2TF8H87ZV1WBJK,1999,Seat,Ateca,monovolumen,78027197L
6698-HWG,3CHX330099GDPXM1L,2013,Renault,Megane,monovolumen,35299956Q
A-5619-GJ,PN9T82GS0445DK12T,1996,Seat,Ateca,todoterreno,94501842V
6143-JHG,H5DR92M31R5Y7F9AS,2015,Fiat,Tipo,descapotable,81672313A
3437-GGF,ANYJRMP2569FXTJXC,2009,Skoda,Superb,furgoneta,03156975H
9515-LJK,T7CAWERD00R8HFETW,2020,Peugeot,308,berlina,43717296T
8430-HFG,GWCV1SB04PSMS0EGD,2011,Nissan,Qashqai,berlina,96483869L
CC-9548-CS,HH3L7ZFK7B684DCJS,1995,Mercedes-Benz,GLC,todoterreno,97047047L
9312-HFZ,HT3XBYEV3V1WAUWCB,2014,Mazda,Mazda3,furgoneta,54360279D
1630-LPB,97N3FA5J4C5JECYKM,2021,Skoda,Superb,SUV,62164789K
CA-7126-SB,DS215XDV60JWVF30D,1991,Hyundai,Elantra,cupé,66345470S
2661-LCH,SSJLCMR90YK3HEZ8S,2022,Skoda,Kodiaq,monovolumen,65445588P
LE-4611-SM,JHJKXH5V5032VHMDZ,1995,Volkswagen,Passat,deportivo,78688160P
9424-BKG,BXGCBJXS22DM0Z8JR,2002,Peugeot,308,berlina,65230884D
6472-BSV,NYNAZG0V3KFXT4V67,2001,Honda,Accord,cupé,52411782A
2508-LXL,X4GD1S9P8MJ9JVAU3,2022,Skoda,Fabia,cupé,93075631J
S-8297-PP,RD724WVL5RSW159DW,1990,Toyota,RAV4,berlina,53645052J
5595-CDZ,EAD0WMVG0JT3N718Z,2003,Audi,A4,monovolumen,22896745S
2361-FYG,1CZ0ZPDL0574SX9U8,2008,Mazda,Mazda3,monovolumen,49723326V
2303-LLT,CX37HG1ZXTVH50X8R,2022,Honda,Civic,SUV,07592906P
1849-HGJ,KTFHJT0UX4FGCNKE4,2012,Honda,Accord,cupé,01052010J
3089-DCY,GBK875TZ2H0A9XTGA,2005,BMW,320,SUV,23242474P
9724-MZD,MWGX7KCM6CLFXHJMJ,2023,Honda,Jazz,furgoneta,58352168H
1360-BYF,N4NU36Y36HJJ26FR3,2001,Ford,Focus,deportivo,19014109D
5861-HFJ,AVYGYAUPXT6GFV2NP,2014,Nissan,Leaf,monovolumen,18279374D
C-5215-GP,E1E4FD5P3VK41C4GC,1993,Toyota,Corolla,todoterreno,62966769Z
5234-GGX,3UAJB52W8JPEV9C8V,2009,Skoda,Fabia,todoterreno,79810898R
9414-HGL,HT0F5VUL3TM830WTF,2012,Fiat,Punto,urbanos,07691356H
9527-LSP,R6HJEM8E5JHC7ZYP6,2021,BMW,X5,deportivo,87013597C
TE-5220-TN,K9BKCB1A6GEPC0L5U,1994,Seat,Leon,SUV,22365699Q
6867-HTY,2W45NPNL13E7ERSFP,2014,Audi,A3,monovolumen,97026739C
